archivo;salida;orig_ancho;orig_alto;orig_kb;final_kb;colores;detalle;estado;detalle_error
Aguardiente antioqueño Azul.png;D:\Subrutina\convertidas\Aguardiente antioqueño Azul.png;1080;1080;492,5;56,6;48;100%;OK;
Aguardiente antioqueño Rojo.png;D:\Subrutina\convertidas\Aguardiente antioqueño Rojo.png;1080;1080;361,0;52,3;64;100%;OK;
Baileys x 750.png;D:\Subrutina\convertidas\Baileys x 750.png;1080;1080;224,9;54,8;256;100%;OK;
Ballantines Finest 700ML.png;D:\Subrutina\convertidas\Ballantines Finest 700ML.png;1080;1080;401,6;40,5;64;100%;OK;
Beefeater pink x 700 ml + Chivas 13 años x 700 ml.png;D:\Subrutina\convertidas\Beefeater pink x 700 ml + Chivas 13 años x 700 ml.png;1080;1080;815,4;49,5;8;100%;OK;
Bombay x 750 ml.png;D:\Subrutina\convertidas\Bombay x 750 ml.png;1080;1080;433,3;58,9;96;100%;OK;
Chivas Regal 12 Años 700ML.png;D:\Subrutina\convertidas\Chivas Regal 12 Años 700ML.png;1080;1080;504,7;58,5;24;100%;OK;
Coca-Cola 1.5 LT.png;D:\Subrutina\convertidas\Coca-Cola 1.5 LT.png;1080;1080;412,1;44,7;48;100%;OK;
Evervess Agua Tonic.png;D:\Subrutina\convertidas\Evervess Agua Tonic.png;1080;1080;407,5;33,3;64;100%;OK;
Evervess Ginger Ale.png;D:\Subrutina\convertidas\Evervess Ginger Ale.png;1080;1080;366,7;41,2;64;100%;OK;
Flor de caña 4 años Gran añejo.png;D:\Subrutina\convertidas\Flor de caña 4 años Gran añejo.png;1080;1080;308,0;58,5;96;100%;OK;
Flor de caña 4 años.png;D:\Subrutina\convertidas\Flor de caña 4 años.png;1080;1080;337,6;42,2;64;100%;OK;
Gin Beefeater London Dry 700ML.png;D:\Subrutina\convertidas\Gin Beefeater London Dry 700ML.png;1080;1080;324,1;58,7;64;100%;OK;
Gin Beefeater Pink 700ML + Absolut 375ML.png;D:\Subrutina\convertidas\Gin Beefeater Pink 700ML + Absolut 375ML.png;1080;1080;771,3;51,8;8;100%;OK;
Gin Beefeater london 700ML + Absolut 375ML.png;D:\Subrutina\convertidas\Gin Beefeater london 700ML + Absolut 375ML.png;1080;1080;593,7;57,5;16;100%;OK;
Gin Tanqueray London Dry 700ML.png;D:\Subrutina\convertidas\Gin Tanqueray London Dry 700ML.png;1080;1080;393,1;42,9;64;100%;OK;
Havana club 7 años x 750 ml_.png;D:\Subrutina\convertidas\Havana club 7 años x 750 ml_.png;1080;1080;396,2;47,3;64;100%;OK;
Havana club añejo especial x 750 ml_.png;D:\Subrutina\convertidas\Havana club añejo especial x 750 ml_.png;1080;1080;385,4;46,2;64;100%;OK;
Hielo.png;D:\Subrutina\convertidas\Hielo.png;1080;1080;472,1;59,0;32;100%;OK;
Jagermeister.png;D:\Subrutina\convertidas\Jagermeister.png;1080;1080;513,6;52,1;64;100%;OK;
Mikes.png;D:\Subrutina\convertidas\Mikes.png;1080;1080;822,0;53,9;12;100%;OK;
PACK-O PASAPORTE VINO TABERNERO BORGONA 750ML.png;D:\Subrutina\convertidas\PACK-O PASAPORTE VINO TABERNERO BORGONA 750ML.png;1080;1080;741,6;59,1;12;100%;OK;
PACK-O PASAPORTE VINO TABERNERO Rose 750ML.png;D:\Subrutina\convertidas\PACK-O PASAPORTE VINO TABERNERO Rose 750ML.png;1080;1080;752,0;59,2;12;100%;OK;
Pack Chilcanero Botija (bot 700ml + Ginger ale+ 2 vasos) copia.png;D:\Subrutina\convertidas\Pack Chilcanero Botija (bot 700ml + Ginger ale+ 2 vasos) copia.png;1080;1080;934,5;59,4;16;100%;OK;
Pack Chilcanero Pancho Fierro (bot 700ml + Ginger ale+ 2 vasos).png;D:\Subrutina\convertidas\Pack Chilcanero Pancho Fierro (bot 700ml + Ginger ale+ 2 vasos).png;1080;1080;783,3;53,9;8;100%;OK;
